delos id;mortage registry
1;ΑΒΙΑΣ - ΜΕΣΣΗΝΙΑΣ
2;ΑΓ.ΑΝΝΑΣ - ΕΥΒΟΙΑΣ
3;ΑΓ.ΝΙΚΟΛΑΟΥ - ΛΑΣΙΘΙΟΥ
4;ΑΓ.ΠΑΡΑΣΚΕΥΗΣ - ΑΤΤΙΚΗΣ
5;ΑΓΙΑΣ - ΛΑΡΙΣΑΣ
6;ΑΓΙΑΣΟΥ - ΛΕΣΒΟΥ
7;ΑΓΡΑΙΩΝ - ΕΥΡΥΤΑΝΙΑΣ
8;ΑΓΡΙΝΙΟΥ Α - ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
9;ΑΓΡΙΝΙΟΥ Β - ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
10;ΑΘΗΝΩΝ - ΑΤΤΙΚΗΣ
11;ΑΙΓΑΛΕΩ - ΑΤΤΙΚΗΣ
12;ΑΙΓΙΑΛΕΙΑΣ - ΑΧΑΙΑΣ
13;ΑΙΓΙΝΑΣ - ΑΤΤΙΚΗΣ
14;ΑΙΤΩΛΙΚΟΥ - ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
15;ΑΚΡΑΤΑΣ - ΑΧΑΙΑΣ
16;ΑΛΑΓΩΝΙΑΣ - ΜΕΣΣΗΝΙΑΣ
17;ΑΛΕΞΑΝΔΡΕΙΑΣ - ΗΜΑΘΙΑΣ
18;ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ - ΕΒΡΟΥ
19;ΑΛΙΑΡΤΟΥ - ΒΟΙΩΤΙΑΣ
20;ΑΛΙΒΕΡΙΟΥ (ΤΑΜΥΝΕΩΝ) - ΕΥΒΟΙΑΣ
21;ΑΛΙΚΙΑΝΟΥ - ΧΑΝΙΩΝ
22;ΑΛΜΥΡΟΥ - ΜΑΓΝΗΣΙΑΣ
23;ΑΛΜΩΠΙΑΣ - ΠΕΛΛΑΣ
24;ΑΜΑΛΙΑΔΑΣ - ΗΛΕΙΑΣ
25;ΑΜΑΡΙΟΥ - ΡΕΘΥΜΝΟΥ
26;ΑΜΑΡΟΥΣΙΟΥ - ΑΤΤΙΚΗΣ
27;ΑΜΒΡΥΣΣΟΥ (ΔΙΣΤΟΜΟΥ) - ΒΟΙΩΤΙΑΣ
28;ΑΜΟΡΓΟΥ - ΚΥΚΛΑΔΩΝ
29;ΑΜΥΝΤΑΙΟΥ - ΦΛΩΡΙΝΑΣ
30;ΑΜΦΕΙΑΣ - ΜΕΣΣΗΝΙΑΣ
31;ΑΜΦΙΚΛΕΙΑΣ (ΔΡΥΜΙΑΣ) - ΦΘΙΩΤΙΔΑΣ
32;ΑΜΦΙΣΣΑΣ - ΦΩΚΙΔΑΣ
33;ΑΝΑΣΕΛΙΤΣΑΣ (ΝΕΑΠΟΛΗΣ) - ΚΟΖΑΝΗΣ
34;ΑΝΑΦΗΣ - ΚΥΚΛΑΔΩΝ
35;ΑΝΔΡΙΤΣΑΙΝΑΣ - ΗΛΕΙΑΣ
36;ΑΝΔΡΟΥ ΧΩΡΑ - ΚΥΚΛΑΔΩΝ
37;ΑΝΩ ΚΑΛΕΝΤΙΝΗΣ - ΑΡΤΑΣ
38;ΑΠΕΡΑΝΤΙΩΝ - ΕΥΡΥΤΑΝΙΑΣ
39;ΑΠΟΔΟΤΙΑΣ - ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
40;ΑΠΟΛΛΩΝΙΩΝ - ΛΕΥΚΑΔΑΣ
41;ΑΡΑΚΥΝΘΙΩΝ (ΠΡΟΥΣΟΣ) - ΕΥΡΥΤΑΝΙΑΣ
42;ΑΡΑΧΩΒΑΣ - ΒΟΙΩΤΙΑΣ
43;ΑΡΓΑΛΑΣΤΗΣ - ΜΑΓΝΗΣΙΑΣ
44;ΑΡΓΟΣΤΟΛΙΟΥ - ΚΕΦΑΛΛΗΝΙΑΣ
45;ΑΡΓΟΥΣ - ΑΡΓΟΛΙΔΑΣ
46;ΑΡΗΝΗΣ - ΗΛΕΙΑΣ
47;ΑΡΙΟΣ - ΜΕΣΣΗΝΙΑΣ
48;ΑΡΚΑΛΟΧΩΡΙΟΥ - ΗΡΑΚΛΕΙΟΥ
49;ΑΡΝΗΣ - ΧΑΛΚΙΔΙΚΗΣ
50;ΑΡΟΑΝΕΙΑΣ - ΑΧΑΙΑΣ
51;ΑΡΤΑΣ - ΑΡΤΑΣ
